marca,modelo_code,modelo_nome,ano,preco
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x2 CD Dies.Aut,2012,78873
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2019,171792
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2019,151662
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2018,140510
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2017,132521
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2016,119165
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2015,109914
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2014,98378
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2013,88480
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2012,79633
CHEVROLET,S10,S10 P-Up H.Country 2.8 4x4 CD Dies.Aut.,2019,179295
CHEVROLET,S10,S10 P-Up H.Country 2.8 4x4 CD Dies.Aut.,2019,165888
CHEVROLET,S10,S10 P-Up H.Country 2.8 4x4 CD Dies.Aut.,2018,153321
CHEVROLET,S10,S10 P-Up H.Country 2.8 4x4 CD Dies.Aut.,2017,143748
CHEVROLET,S10,S10 P-Up H.Country 2.8 4x4 CD Dies.Aut.,2016,128127
CHEVROLET,SPIN,SPIN ACTIV 1.8 8V Econo. Flex 5p Aut.,2019,76831
CHEVROLET,SPIN,SPIN ACTIV 1.8 8V Econo. Flex 5p Aut.,2019,71210
CHEVROLET,SPIN,SPIN ACTIV 1.8 8V Econo. Flex 5p Aut.,2018,64573
CHEVROLET,SPIN,SPIN ACTIV 1.8 8V Econo. Flex 5p Aut.,2017,58664
CHEVROLET,SPIN,SPIN ACTIV 1.8 8V Econo. Flex 5p Aut.,2016,52431
CHEVROLET,SPIN,SPIN ACTIV 1.8 8V Econo. Flex 5p Aut.,2015,47966
CHEVROLET,SPIN,SPIN ACTIV 1.8 8V Econo. Flex 5p Mec.,2016,50448
CHEVROLET,SPIN,SPIN ACTIV 1.8 8V Econo. Flex 5p Mec.,2015,47245
CHEVROLET,SPIN,SPIN ACTIV7 1.8 8V Econo.Flex 5p Aut.,2019,82810
CHEVROLET,SPIN,SPIN ACTIV7 1.8 8V Econo.Flex 5p Aut.,2019,73778
CHEVROLET,SPIN,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Aut.,2019,68585
CHEVROLET,SPIN,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Aut.,2018,60818
